County,Year,SFunits,MFunits,TOTALunits,SF_Share,MF_Share,VeryLowunits,Lowunits,Moderateunits,AboveModerateunits,VeryLow_Share,Low_Share,Moderate_Share,AboveModerate_Share,Affordableunits,Affordableunits_Share,Source
San Mateo County,1985,1270,872,2142,0.5929,0.4071,,,,,,,,,,,CIRB
Santa Clara County,1985,3809,5714,9523,0.4,0.6,,,,,,,,,,,CIRB
Solano County,1985,2169,3308,5477,0.396,0.604,,,,,,,,,,,CIRB
Sonoma County,1985,2930,3171,6101,0.4802,0.5198,,,,,,,,,,,CIRB
Alameda County,1986,4225,5722,9947,0.4248,0.5752,,,,,,,,,,,CIRB
Contra Costa County,1986,6295,6769,13064,0.4819,0.5181,,,,,,,,,,,CIRB
Marin County,1986,579,365,944,0.6133,0.3867,,,,,,,,,,,CIRB
Napa County,1986,469,138,607,0.7727,0.2273,,,,,,,,,,,CIRB
San Francisco County,1986,139,1898,2037,0.0682,0.9318,,,,,,,,,,,CIRB
San Mateo County,1986,1361,2144,3505,0.3883,0.6117,,,,,,,,,,,CIRB
Santa Clara County,1986,3235,4784,8019,0.4034,0.5966,,,,,,,,,,,CIRB
Solano County,1986,3519,1901,5420,0.6493,0.3507,,,,,,,,,,,CIRB
Sonoma County,1986,3282,593,3875,0.847,0.153,,,,,,,,,,,CIRB
Alameda County,1987,4489,4838,9327,0.4813,0.5187,,,,,,,,,,,CIRB
Contra Costa County,1987,5482,2950,8432,0.6501,0.3499,,,,,,,,,,,CIRB
Marin County,1987,888,471,1359,0.6534,0.3466,,,,,,,,,,,CIRB
Napa County,1987,518,9,527,0.9829,0.0171,,,,,,,,,,,CIRB
San Francisco County,1987,155,2287,2442,0.0635,0.9365,,,,,,,,,,,CIRB
San Mateo County,1987,1310,1708,3018,0.4341,0.5659,,,,,,,,,,,CIRB
Santa Clara County,1987,3078,4558,7636,0.4031,0.5969,,,,,,,,,,,CIRB
Solano County,1987,2949,406,3355,0.879,0.121,,,,,,,,,,,CIRB
Sonoma County,1987,2832,753,3585,0.79,0.21,,,,,,,,,,,CIRB
Alameda County,1988,3417,3135,6552,0.5215,0.4785,,,,,,,,,,,CIRB
Contra Costa County,1988,5876,2228,8104,0.7251,0.2749,,,,,,,,,,,CIRB
Marin County,1988,1004,382,1386,0.7244,0.2756,,,,,,,,,,,CIRB
Napa County,1988,859,115,974,0.8819,0.1181,,,,,,,,,,,CIRB
San Francisco County,1988,157,1774,1931,0.0813,0.9187,,,,,,,,,,,CIRB
San Mateo County,1988,1429,981,2410,0.5929,0.4071,,,,,,,,,,,CIRB
Santa Clara County,1988,3676,2789,6465,0.5686,0.4314,,,,,,,,,,,CIRB
Solano County,1988,4572,716,5288,0.8646,0.1354,,,,,,,,,,,CIRB
Sonoma County,1988,3857,818,4675,0.825,0.175,,,,,,,,,,,CIRB
Alameda County,1989,3067,2961,6028,0.5088,0.4912,,,,,,,,,,,CIRB
Contra Costa County,1989,5462,2208,7670,0.7121,0.2879,,,,,,,,,,,CIRB
Marin County,1989,884,530,1414,0.6252,0.3748,,,,,,,,,,,CIRB
Napa County,1989,884,82,966,0.9151,0.0849,,,,,,,,,,,CIRB
San Francisco County,1989,147,1361,1508,0.0975,0.9025,,,,,,,,,,,CIRB
San Mateo County,1989,1085,1335,2420,0.4483,0.5517,,,,,,,,,,,CIRB
Santa Clara County,1989,2548,2311,4859,0.5244,0.4756,,,,,,,,,,,CIRB
Solano County,1989,5400,833,6233,0.8664,0.1336,,,,,,,,,,,CIRB
Sonoma County,1989,3657,861,4518,0.8094,0.1906,,,,,,,,,,,CIRB
Alameda County,1990,1633,1365,2998,0.5447,0.4553,,,,,,,,,,,CIRB
Contra Costa County,1990,3132,1149,4281,0.7316,0.2684,,,,,,,,,,,CIRB
Marin County,1990,353,454,807,0.4374,0.5626,,,,,,,,,,,CIRB
Napa County,1990,652,55,707,0.9222,0.0778,,,,,,,,,,,CIRB
San Francisco County,1990,161,916,1077,0.1495,0.8505,,,,,,,,,,,CIRB
San Mateo County,1990,636,191,827,0.769,0.231,,,,,,,,,,,CIRB
Santa Clara County,1990,1675,3646,5321,0.3148,0.6852,,,,,,,,,,,CIRB
Solano County,1990,1763,551,2314,0.7619,0.2381,,,,,,,,,,,CIRB
Sonoma County,1990,2647,997,3644,0.7264,0.2736,,,,,,,,,,,CIRB
Alameda County,1991,1331,1299,2630,0.5061,0.4939,,,,,,,,,,,CIRB
Contra Costa County,1991,2684,1268,3952,0.6791,0.3209,,,,,,,,,,,CIRB
Marin County,1991,260,173,433,0.6005,0.3995,,,,,,,,,,,CIRB
Napa County,1991,419,337,756,0.5542,0.4458,,,,,,,,,,,CIRB
San Francisco County,1991,195,792,987,0.1976,0.8024,,,,,,,,,,,CIRB
San Mateo County,1991,503,331,834,0.6031,0.3969,,,,,,,,,,,CIRB
Santa Clara County,1991,1663,2102,3765,0.4417,0.5583,,,,,,,,,,,CIRB
Solano County,1991,1408,34,1442,0.9764,0.0236,,,,,,,,,,,CIRB
Sonoma County,1991,2048,160,2208,0.9275,0.0725,,,,,,,,,,,CIRB
Alameda County,1992,2337,741,3078,0.7593,0.2407,,,,,,,,,,,CIRB
Contra Costa County,1992,3279,620,3899,0.841,0.159,,,,,,,,,,,CIRB
Marin County,1992,259,43,302,0.8576,0.1424,,,,,,,,,,,CIRB
Napa County,1992,313,104,417,0.7506,0.2494,,,,,,,,,,,CIRB
San Francisco County,1992,70,559,629,0.1113,0.8887,,,,,,,,,,,CIRB
San Mateo County,1992,342,596,938,0.3646,0.6354,,,,,,,,,,,CIRB
Santa Clara County,1992,1693,1143,2836,0.597,0.403,,,,,,,,,,,CIRB
Solano County,1992,1609,194,1803,0.8924,0.1076,,,,,,,,,,,CIRB
Sonoma County,1992,1817,159,1976,0.9195,0.0805,,,,,,,,,,,CIRB
Alameda County,1993,2052,515,2567,0.7994,0.2006,,,,,,,,,,,CIRB
Contra Costa County,1993,3006,427,3433,0.8756,0.1244,,,,,,,,,,,CIRB
Marin County,1993,221,80,301,0.7342,0.2658,,,,,,,,,,,CIRB
Napa County,1993,291,124,415,0.7012,0.2988,,,,,,,,,,,CIRB
San Francisco County,1993,82,919,1001,0.0819,0.9181,,,,,,,,,,,CIRB
San Mateo County,1993,421,89,510,0.8255,0.1745,,,,,,,,,,,CIRB
Santa Clara County,1993,1822,1617,3439,0.5298,0.4702,,,,,,,,,,,CIRB
Solano County,1993,1419,50,1469,0.966,0.034,,,,,,,,,,,CIRB
Sonoma County,1993,1687,252,1939,0.87,0.13,,,,,,,,,,,CIRB
Alameda County,1994,2352,776,3128,0.7519,0.2481,,,,,,,,,,,CIRB
Contra Costa County,1994,3680,189,3869,0.9512,0.0488,,,,,,,,,,,CIRB
Marin County,1994,318,33,351,0.906,0.094,,,,,,,,,,,CIRB
Napa County,1994,382,12,394,0.9695,0.0305,,,,,,,,,,,CIRB
San Francisco County,1994,107,841,948,0.1129,0.8871,,,,,,,,,,,CIRB
San Mateo County,1994,599,301,900,0.6656,0.3344,,,,,,,,,,,CIRB
Santa Clara County,1994,2127,1827,3954,0.5379,0.4621,,,,,,,,,,,CIRB
Solano County,1994,1380,121,1501,0.9194,0.0806,,,,,,,,,,,CIRB
Sonoma County,1994,2117,334,2451,0.8637,0.1363,,,,,,,,,,,CIRB
Alameda County,1995,2492,458,2950,0.8447,0.1553,,,,,,,,,,,CIRB
Contra Costa County,1995,3047,307,3354,0.9085,0.0915,,,,,,,,,,,CIRB
Marin County,1995,337,241,578,0.583,0.417,,,,,,,,,,,CIRB
Napa County,1995,299,17,316,0.9462,0.0538,,,,,,,,,,,CIRB
San Francisco County,1995,106,409,515,0.2058,0.7942,,,,,,,,,,,CIRB
San Mateo County,1995,717,707,1424,0.5035,0.4965,,,,,,,,,,,CIRB
Santa Clara County,1995,2199,1285,3484,0.6312,0.3688,,,,,,,,,,,CIRB
Solano County,1995,946,169,1115,0.8484,0.1516,,,,,,,,,,,CIRB
