County,TotalPop,HouseholdPop,HouseholdSize,EstHouseholds,Year
San Mateo,718614,709712,2.751160023,257968.273,2010
Santa Clara,1781427,1751065,2.898415284,604145.655,2010
Solano,413268,400598,2.847380766,140690,2010
Sonoma,482961,472852,2.544349024,185844,2010
Alameda,1525457,1485250,2.707,548670.1145,2011
Contra Costa,1059557,1048956,2.771,378547.8167,2011
Marin,254091,244726,2.367,103390.79,2011
Napa,136901,131908,2.693,48981.80468,2011
San Francisco,815365,789796,2.277,346858.1467,2011
San Mateo,726326,716777,2.773,258484.313,2011
Santa Clara,1803329,1773734,2.924,606612.1751,2011
Solano,413527,401224,2.807,142936.9434,2011
Sonoma,485538,475167,2.544,186779.4811,2011
Alameda,1543365,1503961,2.726,551709.8313,2012
Contra Costa,1070440,1059839,2.784,380689.296,2012
Marin,255992,247425,2.387,103655.2158,2012
Napa,138120,133134,2.711,49108.81594,2012
San Francisco,825465,800022,2.293,348897.5142,2012
San Mateo,735206,725814,2.798,259404.5747,2012
Santa Clara,1828843,1798711,2.944,610975.2038,2012
Solano,416133,404325,2.811,143836.7129,2012
Sonoma,487954,477233,2.542,187739.1817,2012
Alameda,1567167,1527889,2.752,555192.2238,2013
Contra Costa,1083937,1073386,2.807,382396.1525,2013
Marin,257522,249325,2.401,103842.1491,2013
Napa,138838,133829,2.721,49183.75597,2013
San Francisco,839674,814181,2.323,350486.8704,2013
San Mateo,745799,736320,2.835,259724.8677,2013
Santa Clara,1857211,1826713,2.976,613814.8522,2013
Solano,419272,407837,2.823,144469.3588,2013
Sonoma,491980,481234,2.556,188276.2128,2013
Alameda,1588576,1548893,2.773,558562.207,2014
Contra Costa,1098018,1087609,2.829,384449.9823,2014
Marin,260622,252325,2.427,103965.8014,2014
Napa,140189,135212,2.745,49257.5592,2014
San Francisco,848448,822950,2.33,353197.4249,2014
San Mateo,752700,743246,2.85,260788.0702,2014
Santa Clara,1880197,1849219,2.987,619089.0526,2014
Solano,423371,412182,2.838,145236.7865,2014
Sonoma,495864,485086,2.566,189043.6477,2014
Alameda,1611770,1572450,2.783,565019.7628,2015
Contra Costa,1112328,1101360,2.845,387121.2654,2015
Marin,262409,254094,2.438,104222.3134,2015
Napa,140884,135912,2.755,49332.84936,2015
San Francisco,858224,833135,2.326,358183.577,2015
San Mateo,760343,750850,2.867,261893.9658,2015
Santa Clara,1905156,1874189,2.989,627028.7722,2015
Solano,427148,416098,2.849,146050.5441,2015
Sonoma,500083,489646,2.585,189418.1818,2015
Alameda,1629738,1590660,2.796,568905.5794,2016
Contra Costa,1127279,1116659,2.86,390440.2098,2016
Marin,263210,255278,2.448,104280.2288,2016
Napa,141711,136796,2.767,49438.38092,2016
San Francisco,865709,840664,2.324,361731.4974,2016
San Mateo,766589,757385,2.877,263255.1269,2016
Santa Clara,1924582,1894125,2.993,632851.6539,2016
Solano,430907,419663,2.845,147508.9631,2016
Sonoma,502475,492076,2.586,190284.6094,2016
Alameda,1646405,1607267,2.809,572184.7633,2017
Contra Costa,1139313,1128727,2.884,391375.5201,2017
Marin,263262,255236,2.447,104305.6804,2017
Napa,141784,136850,2.761,49565.37486,2017
San Francisco,874008,848280,2.322,365322.9974,2017
San Mateo,770256,760921,2.878,264392.2863,2017
Santa Clara,1937473,1907033,2.995,636738.8982,2017
Solano,436640,424874,2.873,147885.1375,2017
Sonoma,504613,494204,2.592,190665.1235,2017
Alameda,1660202,1621112,2.809,577113.5635,2018
Contra Costa,1149363,1138644,2.903,392230.1068,2018
Marin,263886,255702,2.445,104581.5951,2018
Napa,141294,136472,2.769,49285.66269,2018
San Francisco,883963,858158,2.331,368150.1502,2018
San Mateo,774155,764676,2.885,265052.3397,2018
Santa Clara,1956598,1925824,2.999,642155.3851,2018
Solano,439793,428479,2.882,148674.1846,2018
Sonoma,503332,493014,2.641,186677.0163,2018
